PATTERN	SPATIAL	CATEGORY	66-24-C	66-24-P	66-48-C	66-48-P	67-24-C	67-24-P	67-48-C	67-48-P	68-24-C	68-24-P	68-48-C	68-48-P	76-48-C	76-48-P	82-24-C	82-24-P	82-48-C	82-48-P
half 	1	continuous amount	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hand	0	body part	0	0	0	0	0	1	1	3	0	3	0	0	0	0	0	0	1	0
head	0	body part	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	2
head	0	body part	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	2
height	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hexagon	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
high	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hoof	0	body part	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
horizontal	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
horse	0	animal name	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
how	0	question	4	2	4	0	0	5	0	5	0	1	0	1	2	2	0	5	1	8
huge	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i don't know	0	question	2	1	3	2	0	0	0	5	1	6	1	2	1	0	1	2	0	0
i wonder	0	question	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
i'm not sure	0	question	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
in	1	location and directions	0	0	0	6	1	3	0	4	0	6	0	0	0	0	0	10	0	6
is that	0	question	2	6	0	6	0	1	1	3	0	0	0	0	0	0	0	1	0	0
is this	0	question	2	0	2	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0
itsy-bitsy	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
itty-bitty	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jaguar	0	animal name	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
