_ID	KIND	SPEAKER	MATCH	SPATIAL	CATEGORY	COUNT
90	NF	P	plants	0	nature	1
90	NF	P	right	1	location and directions	1
90	NF	P	shape	1	shapes	1
90	NF	P	shiny	0	adjective	1
90	NF	P	small	1	spatial dimension	1
90	NF	P	some	1	continuous amount	1
90	NF	P	sun	0	nature	2
90	NF	P	tall	1	spatial dimension	1
90	NF	P	up	1	location and directions	6
90	NF	P	water	0	nature	3
90	NF	P	what	0	question	12
90	NF	P	when	0	question	8
90	NF	P	where	0	question	4
90	NF	P	who	0	question	1
90	NF	P	why	0	question	1
90	NF	P	wide	1	spatial dimension	1
92	F	C	can	0	question	2
92	F	C	front	1	location and directions	1
92	F	C	i don't know	0	question	2
92	F	C	with	1	location and directions	2
92	F	P	a little	1	continuous amount	1
92	F	P	above	1	location and directions	1
92	F	P	all	1	continuous amount	1
92	F	P	around	1	location and directions	1
92	F	P	away	1	location and directions	1
92	F	P	back	1	location and directions	1
92	F	P	bump	1	spatial features and properties	1
92	F	P	by	1	location and directions	3
92	F	P	can	0	question	1
92	F	P	did	0	question	4
92	F	P	dirt	0	nature	2
92	F	P	do	0	question	7
92	F	P	down	1	location and directions	3
92	F	P	front	1	location and directions	2
92	F	P	how	0	question	1
92	F	P	in	1	location and directions	5
92	F	P	is that	0	question	1
92	F	P	past	1	location and directions	2
92	F	P	right	1	location and directions	1
92	F	P	some	1	continuous amount	1
92	F	P	tiny	1	spatial dimension	1
92	F	P	tree	0	nature	2
92	F	P	under	1	location and directions	1
92	F	P	up	1	location and directions	4
92	F	P	what	0	question	14
92	F	P	where	0	question	1
92	F	P	which	0	question	1
92	F	P	why	0	question	2
92	F	P	will	0	question	1
92	F	P	with	1	location and directions	1
92	NF	C	a lot	1	continuous amount	2
92	NF	C	all	1	continuous amount	1
92	NF	C	around	1	location and directions	1
92	NF	C	big	1	spatial dimension	1
92	NF	C	black	0	color	1
92	NF	C	can	0	question	4
92	NF	C	circle	1	shapes	1
92	NF	C	close	1	location and directions	1
92	NF	C	could	0	question	1
92	NF	C	did	0	question	1
92	NF	C	do	0	question	1
92	NF	C	down	1	location and directions	1
92	NF	C	face	0	body part	1
92	NF	C	half 	1	continuous amount	1
92	NF	C	i don't know	0	question	1
92	NF	C	in	1	location and directions	2
92	NF	C	is this	0	question	1
92	NF	C	maybe	0	question	1
92	NF	C	ocean	0	nature	1
92	NF	C	red	0	color	1
92	NF	C	some	1	continuous amount	1
92	NF	C	spots	0	body part	1
92	NF	C	sun	0	nature	2
92	NF	C	up	1	location and directions	1
92	NF	C	water	0	nature	1
92	NF	C	what	0	question	3
92	NF	C	when	0	question	1
92	NF	C	why	0	question	2
92	NF	C	will	0	question	1
92	NF	P	a little	1	continuous amount	1
92	NF	P	a lot	1	continuous amount	4
92	NF	P	all	1	continuous amount	6
92	NF	P	animal	0	animal name	1
92	NF	P	around	1	location and directions	7
92	NF	P	away	1	location and directions	3
92	NF	P	back	1	location and directions	1
92	NF	P	big	1	spatial dimension	5
92	NF	P	blue	0	color	1
92	NF	P	bright	0	adjective	1
92	NF	P	can	0	question	11
92	NF	P	center	1	location and directions	1
92	NF	P	circle	1	shapes	3
92	NF	P	close	1	location and directions	1
92	NF	P	could	0	question	11
92	NF	P	did	0	question	7
92	NF	P	do	0	question	19
92	NF	P	down	1	location and directions	2
92	NF	P	enormous	1	spatial dimension	1
92	NF	P	face	0	body part	1
92	NF	P	far	1	location and directions	3
92	NF	P	flat	1	spatial features and properties	2
92	NF	P	full	1	spatial dimension	2
92	NF	P	grass	0	nature	1
92	NF	P	green	0	color	1
92	NF	P	half 	1	continuous amount	2
92	NF	P	head	0	body part	2
92	NF	P	high	1	location and directions	1
92	NF	P	how	0	question	3
92	NF	P	i don't know	0	question	2
92	NF	P	in	1	location and directions	17
92	NF	P	is that	0	question	2
92	NF	P	is this	0	question	1
92	NF	P	light	0	adjective	2
92	NF	P	line	1	spatial features and properties	1
92	NF	P	little	1	spatial dimension	2
92	NF	P	long	1	spatial dimension	1
92	NF	P	maybe	0	question	3
92	NF	P	much	1	continuous amount	2
92	NF	P	north	1	location and directions	1
92	NF	P	ocean	0	nature	1
92	NF	P	out	1	location and directions	4
92	NF	P	over	1	location and directions	3
92	NF	P	part	1	continuous amount	2
92	NF	P	place	1	location and directions	3
92	NF	P	plants	0	nature	1
92	NF	P	red	0	color	2
92	NF	P	right	1	location and directions	28
92	NF	P	shiny	0	adjective	1
92	NF	P	sky	0	nature	1
92	NF	P	some	1	continuous amount	4
92	NF	P	south	1	location and directions	1
92	NF	P	spots	0	body part	2
92	NF	P	sun	0	nature	9
92	NF	P	surface	1	spatial features and properties	1
92	NF	P	tall	1	spatial dimension	1
92	NF	P	through	1	location and directions	1
92	NF	P	top	1	location and directions	1
92	NF	P	tree	0	nature	3
92	NF	P	up	1	location and directions	13
92	NF	P	water	0	nature	9
92	NF	P	what	0	question	27
92	NF	P	when	0	question	13
92	NF	P	where	0	question	2
92	NF	P	which	0	question	1
92	NF	P	white	0	color	1
92	NF	P	who	0	question	3
92	NF	P	whole	1	continuous amount	2
92	NF	P	why	0	question	3
92	NF	P	wide	1	spatial dimension	1
92	NF	P	will	0	question	1
92	NF	P	with	1	location and directions	2
92	NF	P	yellow	0	color	1
93	F	C	big	1	spatial dimension	1
93	F	C	did	0	question	1
93	F	C	enough	1	continuous amount	1
93	F	C	in	1	location and directions	1
93	F	C	when	0	question	1
93	F	P	above	1	location and directions	1
93	F	P	around	1	location and directions	1
93	F	P	away	1	location and directions	1
93	F	P	back	1	location and directions	1
93	F	P	bump	1	spatial features and properties	1
93	F	P	by	1	location and directions	2
93	F	P	can	0	question	1
93	F	P	did	0	question	1
93	F	P	dirt	0	nature	2
93	F	P	do	0	question	2
93	F	P	down	1	location and directions	3
93	F	P	front	1	location and directions	1
93	F	P	full	1	spatial dimension	1
93	F	P	head	0	body part	1
93	F	P	how	0	question	1
93	F	P	in	1	location and directions	3
93	F	P	is that	0	question	1
93	F	P	past	1	location and directions	2
93	F	P	some	1	continuous amount	1
93	F	P	tree	0	nature	1
93	F	P	under	1	location and directions	2
93	F	P	up	1	location and directions	3
93	F	P	what	0	question	7
93	F	P	will	0	question	1
93	F	P	with	1	location and directions	1
93	NF	C	what	0	question	2
93	NF	C	who	0	question	1
93	NF	P	all	1	continuous amount	2
93	NF	P	animal	0	animal name	1
93	NF	P	around	1	location and directions	1
93	NF	P	away	1	location and directions	1
93	NF	P	big	1	spatial dimension	1
93	NF	P	can	0	question	1
93	NF	P	could	0	question	4
93	NF	P	did	0	question	1
93	NF	P	do	0	question	2
93	NF	P	down	1	location and directions	1
93	NF	P	far	1	location and directions	1
93	NF	P	flat	1	spatial features and properties	1
93	NF	P	high	1	location and directions	1
93	NF	P	in	1	location and directions	2
93	NF	P	is that	0	question	2
93	NF	P	is this	0	question	1
93	NF	P	maybe	0	question	1
93	NF	P	plants	0	nature	1
93	NF	P	side	1	spatial features and properties	1
93	NF	P	some	1	continuous amount	1
93	NF	P	sun	0	nature	1
93	NF	P	surface	1	spatial features and properties	1
93	NF	P	tall	1	spatial dimension	1
93	NF	P	up	1	location and directions	2
93	NF	P	water	0	nature	2
93	NF	P	what	0	question	6
93	NF	P	when	0	question	2
93	NF	P	where	0	question	1
93	NF	P	who	0	question	1
93	NF	P	wide	1	spatial dimension	1
94	F	C	spider	0	animal name	1
94	F	P	above	1	location and directions	1
94	F	P	all	1	continuous amount	2
94	F	P	around	1	location and directions	1
94	F	P	away	1	location and directions	1
94	F	P	back	1	location and directions	1
94	F	P	bump	1	spatial features and properties	1
94	F	P	by	1	location and directions	3
94	F	P	can	0	question	1
94	F	P	cat	0	animal name	1
94	F	P	did	0	question	1
94	F	P	dirt	0	nature	2
94	F	P	do	0	question	3
94	F	P	down	1	location and directions	3
94	F	P	front	1	location and directions	2
94	F	P	how	0	question	2
94	F	P	in	1	location and directions	7
94	F	P	out	1	location and directions	1
94	F	P	past	1	location and directions	2
94	F	P	sky	0	nature	1
94	F	P	spider	0	animal name	1
