PATTERN	SPATIAL	CATEGORY
shape|shapes|shaped|shaping	1	shapes
in|into|inside|within	1	location and directions
out|outside	1	location and directions
under|underneath	1	location and directions
beneath	1	location and directions
below	1	location and directions
over	1	location and directions
above	1	location and directions
up|upper|upward|upwards|upright	1	location and directions
down|downer|downward|downwards	1	location and directions
top|tops	1	location and directions
bottom|bottoms	1	location and directions
high|higher|highest	1	location and directions
low|lower|lowest	1	location and directions
column|columns	1	location and directions
vertical|vertically|verticals	1	location and directions
left|leftward	1	location and directions
right|rightward	1	location and directions
front|in front|fronts	1	location and directions
back|in back|backs|backward|backwards	1	location and directions
ahead	1	location and directions
behind	1	location and directions
row|rows	1	location and directions
horizontal|horizontally|horizontals	1	location and directions
by	1	location and directions
near|nearby|nearer|nearest	1	location and directions
close|closer|closest	1	location and directions
next to	1	location and directions
with	1	location and directions
beside	1	location and directions
far|farther|farthest	1	location and directions
away	1	location and directions
beyond	1	location and directions
further|furthest	1	location and directions
past	1	location and directions
against	1	location and directions
together	1	location and directions
separate|separated|separating|separates	1	location and directions
join|joined|joins|joining	1	location and directions
apart	1	location and directions
attach|attaching|attaches|attached	1	location and directions
connect|connects|connecting|connected	1	location and directions
between	1	location and directions
among	1	location and directions
middle|middles	1	location and directions
center|centers	1	location and directions
along	1	location and directions
lengthwise	1	location and directions
north|northern	1	location and directions
south|southern	1	location and directions
east|eastern	1	location and directions
west|western	1	location and directions
around	1	location and directions
through	1	location and directions
across	1	location and directions
opposite|opposites	1	location and directions
aside	1	location and directions
reverse|reversed|reverses|reversing	1	location and directions
forward|forwards	1	location and directions
parallel|parallels	1	location and directions
perpendicular|perpendiculars	1	location and directions
diagonal|diagonals|diagonally	1	location and directions
location|locations|locate|locating|locates	1	location and directions
position|positions|positioning	1	location and directions
direction|directions|directioning|directing	1	location and directions
route|routes	1	location and directions
path|paths	1	location and directions
head|heads|headed|heading	1	location and directions
place|places|placed|placing	1	location and directions
distance|distances|distanced|distancing	1	location and directions
whole|wholes	1	continuous amount
all	1	continuous amount
part|parts	1	continuous amount
piece|pieces	1	continuous amount
section|sections	1	continuous amount
bit|bits	1	continuous amount
segment|segments	1	continuous amount
portion|portions	1	continuous amount
fragment|fragments	1	continuous amount
fraction|fractions	1	continuous amount
some	1	continuous amount
a lot|lots	1	continuous amount
a little	1	continuous amount
much	1	continuous amount
enough	1	continuous amount
half |halves	1	continuous amount
third|thirds	1	continuous amount
quarter|quarters	1	continuous amount
lump|lumps|lumpy|lumpiest	1	spatial features and properties
arc|arcs|arcing|arced	1	spatial features and properties
sector|sectors	1	spatial features and properties
axis|axes	1	spatial features and properties
symmetry|symmetric|symmetrical	1	spatial features and properties
straight|straighter|straightest|straighten|straightening	1	spatial features and properties
flat|flatter|flattest	1	spatial features and properties
angle|angles|angling|angled	1	spatial features and properties
corner|corners|cornered	1	spatial features and properties
point|points|pointed|pointy	1	spatial features and properties
plane|planes	1	spatial features and properties
surface|surfaces	1	spatial features and properties
face|faces	1	location and directions
side|sides|sideways|sided	1	spatial features and properties
edge|edges|edged|edging	1	spatial features and properties
border|borders|bordered|bordering	1	spatial features and properties
line|lines|lined|lining	1	spatial features and properties
round|rounder|roundest|rounded|rounding	1	spatial features and properties
curve|curves|curved|curvy|curviest	1	spatial features and properties
bump|bumps|bumped|bumpy|bumpiest	1	spatial features and properties
bent|bend|bendy|bent	1	spatial features and properties
wave|waves|wavy|waviest	1	spatial features and properties
upside down|upside-down	1	orientation and transformation
right side up|right-side-up|upside-up	1	orientation and transformation
orientation|orientations|orient|oriented	1	orientation and transformation
turn|turns|turned|turning	1	orientation and transformation
