_ID	KIND	SPEAKER	WORD_TYP	WORD_TOK	PATT_TYP	PATT_TOK	SPA_TYP	SPA_TOK	SD_TYP	SD_TOK	SHA_TYP	SHA_TOK	LD_TYP	LD_TOK	CA_TYP	CA_TOK	SF_TYP	SF_TOK	OT_TYP	OT_TOK	ANI_TYP	ANI_TOK	NAT_TYP	NAT_TOK	BP_TYP	BP_TOK	COL_TYP	COL_TOK	ADJ_TYP	ADJ_TOK	Q_TYP	Q_TOK
72	12	C	67	230	19	42	11	32	0	0	0	0	5	26	4	4	1	1	1	1	3	3	0	0	1	2	2	2	0	0	2	3
72	12	E	70	424	15	107	6	41	0	0	0	0	4	24	1	13	0	0	1	4	0	0	0	0	0	0	0	0	0	0	9	66
74	12	C	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	12	E	89	626	13	141	5	50	0	0	0	0	4	18	1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	91
76	12	C	69	254	10	39	4	31	0	0	0	0	3	20	0	0	0	0	1	11	1	2	0	0	0	0	0	0	0	0	5	6
76	12	E	109	970	15	164	6	34	0	0	0	0	4	26	1	2	1	6	0	0	0	0	0	0	0	0	0	0	0	0	9	130
79	12	C	83	202	16	31	7	11	0	0	0	0	4	6	3	5	0	0	0	0	2	5	1	1	0	0	1	1	0	0	5	13
79	12	E	71	323	17	76	4	14	0	0	0	0	2	5	2	9	0	0	0	0	1	1	1	1	0	0	1	1	0	0	10	59
8	12	C	70	171	13	29	7	13	1	2	0	0	4	8	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	16
8	12	E	128	729	25	155	10	50	1	1	0	0	5	27	3	21	1	1	0	0	1	1	0	0	0	0	0	0	0	0	14	104
80	12	C	49	124	13	32	5	10	0	0	0	0	3	4	1	4	1	2	0	0	2	2	0	0	1	2	2	2	0	0	3	16
80	12	E	57	225	14	58	6	18	0	0	0	0	4	8	1	8	1	2	0	0	0	0	0	0	0	0	1	1	0	0	7	39
81	12	C	17	65	3	18	3	18	0	0	0	0	3	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	12	E	74	393	15	100	5	26	0	0	0	0	4	18	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	74
82	12	C	47	106	13	21	3	4	0	0	0	0	2	3	1	1	0	0	0	0	3	4	0	0	2	2	0	0	0	0	5	11
82	12	E	85	423	22	92	9	24	0	0	0	0	6	10	3	14	0	0	0	0	2	2	0	0	0	0	0	0	0	0	11	66
83	12	C	75	163	16	25	7	13	0	0	0	0	5	9	2	4	0	0	0	0	2	3	0	0	1	1	2	2	0	0	4	6
